order_id,order_ts,city,store_id,customer_id,category,items_count,gross_order_value,discount_amount,fulfilled_order_value,eta_mins,actual_delivery_mins,sla_breached,stockout_flag,cancelled_flag,payment_mode,variable_cost,contribution_margin
ORD000001,2024-03-03 01:58:20,Delhi NCR,DS_12,CUST3232,Snacks & Munchies,6,180.71,27.63,153.09,23,17,0,0,0,UPI,92.69,60.39
ORD000002,2024-01-28 00:13:52,Delhi NCR,DS_09,CUST1511,Household,4,924.2,93.59,830.61,19,19,0,0,0,UPI,76.35,754.26
ORD000003,2024-02-23 14:20:52,Delhi NCR,DS_03,CUST2516,Dairy & Breakfast,7,315.8,26.06,289.74,23,28,1,0,0,Card,87.31,202.43
ORD000004,2024-03-09 03:21:35,Bengaluru,DS_01,CUST4297,Dairy & Breakfast,7,585.39,67.5,517.89,14,24,1,0,0,UPI,98.7,419.19
ORD000005,2024-01-21 11:37:32,Hyderabad,DS_03,CUST3087,Snacks & Munchies,1,735.8,88.74,647.06,19,23,1,0,0,COD,81.73,565.33
ORD000006,2024-03-24 14:30:54,Delhi NCR,DS_11,CUST3199,Beverages,5,179.28,24.46,154.82,18,6,0,0,0,COD,91.67,63.15
ORD000007,2024-02-03 00:39:58,Bengaluru,DS_03,CUST3209,Household,1,180.9,29.43,151.48,17,26,1,0,0,Wallet,90.98,60.49
ORD000008,2024-03-30 04:14:41,Bengaluru,DS_08,CUST3251,Fruits & Vegetables,3,76.57,15.46,0,11,24,1,0,1,Card,11.34,-11.34
ORD000009,2024-02-28 21:27:58,Bengaluru,DS_06,CUST1086,Snacks & Munchies,2,411.96,10.65,401.31,19,13,0,0,0,UPI,95.83,305.48
ORD000010,2024-01-22 09:08:37,Bengaluru,DS_08,CUST4307,Snacks & Munchies,6,47.84,6.13,41.71,20,28,1,0,0,UPI,88.53,-46.82
ORD000011,2024-03-04 23:32:27,Bengaluru,DS_08,CUST1574,Snacks & Munchies,4,418.22,10.5,407.72,18,22,1,0,0,UPI,95.32,312.4
ORD000012,2024-01-25 06:05:28,Bengaluru,DS_01,CUST2599,Dairy & Breakfast,8,930.31,158.45,771.86,19,21,1,0,0,COD,96.31,675.55
ORD000013,2024-02-14 04:14:46,Bengaluru,DS_01,CUST3392,Snacks & Munchies,2,310.17,33.24,276.93,9,7,0,0,0,Wallet,79.7,197.23
ORD000014,2024-02-21 13:36:48,Mumbai,DS_09,CUST2295,Household,7,217.74,30.17,187.57,16,14,0,0,0,UPI,96.54,91.03
ORD000015,2024-03-10 12:50:52,Mumbai,DS_09,CUST2086,Fruits & Vegetables,4,330.78,59.14,271.63,22,36,1,1,0,UPI,94.49,177.14
